rep	q	muRR	sigma	a	LRT
0	0.332037312593	20.8306175361	2.03572130157	0.205139079917	0.867482182493
1	0.324533509318	20.8718754496	2.20000904006	0.140173742248	0.40137212289
2	0.305920420951	20.4690605332	2.02857777928	0.369709761825	2.88622519472
3	0.368112506014	20.8698594128	2.26985406809	0.0528534642654	0.0557219949076
4	0.328220022656	20.2302875969	1.97334890509	0.640031685489	7.31068379454
5	0.280858958756	20.3782896268	2.29147759173	0.392725230217	3.06268532173
6	0.338991005078	20.4795159332	2.16668517553	0.401687502596	2.95930802168
7	0.341390335917	20.3897567941	2.31701317668	0.355606737421	3.01562572215
8	0.361963383534	20.6344833616	2.25592888884	0.238909329638	1.29267049885
9	0.376387247948	20.6107472049	1.7945735268	0.306596008098	2.37561322306
10	0.349729822575	20.8049581482	1.98585789928	0.037843299248	0.0323372945197
11	0.313268341085	20.5838625722	2.2716477656	0.323629753361	1.79283091968
12	0.346414403688	21.3295059544	2.23661278272	-0.28556191486	1.25408545572
13	0.38062212999	20.6258536076	2.30364165275	0.316862128946	1.96363465021
14	0.306412181601	20.1237000874	2.00521121818	0.674346627125	7.8965882989
15	0.339758176834	20.3188959697	1.87203100333	0.622343150057	7.13300514285
16	0.318552701932	20.4547547886	1.98436883328	0.395504018665	3.48513910106
17	0.373250529084	20.3593689747	2.13811363088	0.468429550297	4.41344731592
18	0.313536752584	21.0537379491	2.14681939195	-0.053899020649	0.0505356767533
19	0.345687629876	20.538378718	2.42214417448	0.300822686404	1.58402298302
20	0.307962076955	20.4549607008	2.22802435109	0.387962639681	2.77706502241
21	0.362787153023	20.4266708271	2.05938097429	0.429024455138	3.68231762239
22	0.343161169512	20.4511751063	1.98443444823	0.310818426194	2.27243038387
23	0.355888271121	20.6128236975	2.13464351399	0.370584994662	3.14251444323
24	0.356127868596	20.6032373232	2.16855203607	0.321947081507	1.99795646775
25	0.344013101019	20.4781240357	2.26413312829	0.438800474163	3.85480511736
26	0.382842174433	20.8542193141	2.5241078602	0.215428564363	0.720503659886
27	0.296686099991	20.3587327747	2.05574607735	0.498511639246	4.97468728126
28	0.346254790463	20.2783346126	1.96671633303	0.627437828684	7.49123343106
29	0.312460238041	20.2028525558	2.06519106748	0.444319561009	4.1408481138
30	0.36233987841	20.7051559634	2.0359151814	0.161297846352	0.544854584094
31	0.316929783339	20.4716257322	2.07893249016	0.505726933574	5.40026771825
32	0.331119231922	20.8594990477	1.79514671208	0.107675360827	0.283379661684
33	0.300942744504	20.2815306558	1.9709956202	0.508426700542	5.27694798183
34	0.339721210794	20.9868856215	2.04184149752	-0.00566656976594	0.000620247192956
35	0.302966170385	20.5093828983	1.99526524459	0.425716563508	3.02362150996
36	0.359765835213	20.6244605264	2.24106781484	0.297114349975	1.72844861183
37	0.359142072663	20.5765327332	2.33258965698	0.340307326766	1.99101618619
38	0.345925783484	20.4730112313	2.42732289743	0.34606063247	2.11656044314
39	0.354336109296	20.8601777016	2.31311247342	0.118739925099	0.258198270575
40	0.351374548522	20.8334784114	2.29911940816	0.114440172693	0.254816980469
41	0.323506702176	19.9908391341	1.83643179926	0.677990783619	10.0066228831
42	0.358229044328	20.985500026	2.101710248	0.0633987369405	0.0955576833092
43	0.345780444597	20.849840315	2.44656923273	0.0763291469209	0.113704778656
44	0.302702317768	20.8863001263	2.3989696957	0.209611842725	0.676486935487
45	0.325273446704	20.910368229	2.21021478092	0.00885806500188	0.00166296474208
46	0.321139592938	20.9341833967	2.13635629299	0.0639673894349	0.0820203760009
47	0.293753011498	20.6545103569	2.07547379194	0.266339035686	1.34035763556
48	0.390122724596	20.6552656758	1.8832115709	0.278450882439	2.07805501781
49	0.304006973095	20.6600512108	1.92951861247	0.281872720967	1.40683448819
50	0.418114130196	20.5565538132	2.09514018571	0.416096391845	3.1511185909
51	0.28867011688	20.850961759	2.29597189828	0.182911505546	0.679750077486
52	0.270026657779	20.4785248678	2.17682017515	0.360190844892	2.42127653056
53	0.35309276874	20.0059693324	1.94143042289	0.699020259834	10.3739066292
54	0.304660226992	20.1156933119	2.03840898329	0.599659371557	6.82478000361
55	0.336778382208	20.2839882123	1.98903152677	0.373480076806	3.04583712788
56	0.260660299726	20.8300977073	1.99519017318	0.139385019479	0.366020296789
57	0.375779620807	20.6998982655	2.16432778485	0.351103699066	2.64666213131
58	0.329381962896	20.8534146899	2.02566837785	0.174760459309	0.66441876516
59	0.405374132223	20.4275623287	2.24034174761	0.454828524509	4.07465974963
60	0.316536832306	20.7126323109	2.11512666225	0.210579375969	0.893746628479
61	0.354165033159	21.3844239438	2.19098852952	-0.204157290718	0.726250029458
62	0.374913335897	20.7556852386	1.78028081936	0.0500269913305	0.0663133335331
63	0.321856294374	20.6564743993	2.20280524074	0.286020064109	1.54320337741
64	0.313902752196	20.5082967953	2.25488867648	0.352545077875	2.38058715883
65	0.277247327065	20.5411706397	2.02746908406	0.390339060441	2.80667277065
66	0.3703125499	20.9623562311	2.48579292832	0.0539354899887	0.0562815977048
67	0.353744670546	20.3742809899	1.82045551519	0.477847695136	5.11293569017
68	0.317213903332	20.6983346069	2.03132286861	0.269284156782	1.47553815725
69	0.341077915185	21.0691309905	2.54421853995	-0.0534117640265	0.0496109684257
70	0.372798280879	19.9761145076	1.81818471643	0.782233916225	13.0052490906
71	0.291049643744	19.756548262	2.16168434866	0.857939042476	12.1575186735
72	0.345691901816	20.3927809374	2.13175381832	0.492194606876	3.91017973301
73	0.319604648378	20.2996084058	2.12595288891	0.516707929524	5.7063767826
74	0.283248856186	21.322642532	2.1078954929	-0.205362364163	0.806671905497
75	0.339819437864	20.6488251742	2.61693951986	0.237746211692	1.04638771635
76	0.32982599471	20.6698922259	2.22763884906	0.20431893981	0.824354064691
77	0.392276141324	20.4198334636	2.05484549958	0.43716329965	3.50370301332
78	0.367895055795	20.8331431241	2.11885078075	0.126727350157	0.333695313422
79	0.340689690161	20.711450459	1.82998403735	0.169279552221	0.72587720103
80	0.283181725662	20.3459554701	2.18457052617	0.455651445223	2.97643861692
81	0.336091036777	20.3399890331	2.24860608598	0.440512441002	3.75366854617
82	0.328583522754	20.3878714845	1.852471744	0.449699288268	4.0978003874
83	0.321016306759	21.0481319196	1.98776736083	0.0569516498238	0.0638928149249
84	0.296491846036	21.1594132147	2.21166485669	0.00243828322845	9.235958305e-05
85	0.345170645145	20.8075152493	2.2672968596	0.185703830845	0.610675863375
86	0.339827588165	20.9075152949	1.99917046445	0.0779611379937	0.119232465958
87	0.343871110852	20.7701379331	2.39483815449	0.0917485838996	0.160344837722
88	0.38136336341	21.7343699138	1.92752883145	-0.506762945094	5.76589812541
89	0.302723663147	20.8632820505	2.35148008001	0.103473744648	0.17169553977
90	0.331297853886	21.0625918256	2.04235657416	0.00723928081621	0.00120554660862
91	0.332378049075	20.4743495905	1.80907030518	0.315229121927	2.40675630976
92	0.310126717798	20.5795479865	2.01145578095	0.319444080282	2.2231576885
93	0.294131931461	20.2546127493	2.26747619898	0.364605452625	2.44681087043
94	0.304926791668	20.1753261747	2.12306612132	0.627648122958	8.20882437885
95	0.349723336473	20.6487358905	1.99953110709	0.225371982934	1.14825013542
96	0.326911680576	20.5763790165	1.92723804347	0.321134537978	1.79983061894
97	0.302954927826	20.5915072982	2.25084728469	0.243634751502	1.0163591272
98	0.373043782407	20.0567179933	1.81847280945	0.755531496614	11.8424272305
99	0.406629563842	21.0431829769	2.15433075101	-0.0516055530015	0.0520004414334
